Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-0320	MB-0320	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0321	MB-0321	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0322	MB-0322	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0324	MB-0324	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0325	MB-0325	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0336	MB-0336	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0339	MB-0339	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0341	MB-0341	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0342	MB-0342	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0343	MB-0343	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0344	MB-0344	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0345	MB-0345	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0346	MB-0346	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0348	MB-0348	0	no alteration	not profiled	not profiled	no alteration	no alteration
