STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-3028	5.400588435
brca_metabric	MB-3031	5.727292672
brca_metabric	MB-3032	5.587941372
brca_metabric	MB-3033	6.707113623
brca_metabric	MB-3035	5.377555633
brca_metabric	MB-3037	6.662324951
brca_metabric	MB-3046	5.272109248
brca_metabric	MB-3049	5.312107021
brca_metabric	MB-3050	5.393843347
brca_metabric	MB-3057	5.513527386
brca_metabric	MB-3058	5.540112036
brca_metabric	MB-3060	6.940175024
brca_metabric	MB-3062	5.212938176
brca_metabric	MB-3063	5.580407239
brca_metabric	MB-3064	5.694805526
brca_metabric	MB-3067	5.181845772
brca_metabric	MB-3079	5.674702381
brca_metabric	MB-3083	5.499993037
brca_metabric	MB-3085	5.23806088
brca_metabric	MB-3088	5.540672216
brca_metabric	MB-3092	9.617802248
brca_metabric	MB-3102	6.791843279
brca_metabric	MB-3103	7.666942882
brca_metabric	MB-3104	6.200040479
brca_metabric	MB-3105	6.422372555
brca_metabric	MB-3110	5.721672058
brca_metabric	MB-3121	10.46592766
brca_metabric	MB-3122	5.577429653
brca_metabric	MB-3123	5.544194871
brca_metabric	MB-3153	5.246458438
brca_metabric	MB-3165	5.507945884
brca_metabric	MB-3167	5.929658169
brca_metabric	MB-3171	7.617362344
brca_metabric	MB-3181	6.915279525
brca_metabric	MB-3211	5.312461432
brca_metabric	MB-3218	5.418744851
brca_metabric	MB-3222	5.327334093
brca_metabric	MB-3228	5.327802245
brca_metabric	MB-3235	5.394593723
brca_metabric	MB-3252	5.558748244
brca_metabric	MB-3253	5.608572562
brca_metabric	MB-3254	5.474641522
brca_metabric	MB-3266	5.414491793
brca_metabric	MB-3271	5.175176212
brca_metabric	MB-3272	6.030618657
brca_metabric	MB-3275	7.74262182
brca_metabric	MB-3277	5.36797594
brca_metabric	MB-3292	5.487594642
brca_metabric	MB-3295	5.260001799
brca_metabric	MB-3297	5.492485909
brca_metabric	MB-3298	5.58774636
brca_metabric	MB-3300	5.379945386
brca_metabric	MB-3301	5.59107761
brca_metabric	MB-3303	5.519012996
brca_metabric	MB-3328	5.556851288
brca_metabric	MB-3329	6.869415622
brca_metabric	MB-3341	5.608900832
brca_metabric	MB-3344	5.523458504
brca_metabric	MB-3350	8.078188738
brca_metabric	MB-3351	5.618063578
brca_metabric	MB-3355	5.610711478
brca_metabric	MB-3357	6.097067014
brca_metabric	MB-3360	5.90399371
brca_metabric	MB-3361	6.78394466
brca_metabric	MB-3363	5.351272362
brca_metabric	MB-3365	7.741241014
brca_metabric	MB-3367	5.735621268
brca_metabric	MB-3371	5.460957742
