STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-2954	0.0315
brca_metabric	MB-2957	1.8463
brca_metabric	MB-2960	0.8381
brca_metabric	MB-2963	1.5021
brca_metabric	MB-2964	0.0306
brca_metabric	MB-2966	0.5796
brca_metabric	MB-2969	-0.3341
brca_metabric	MB-2970	-0.3152
brca_metabric	MB-2971	0.1694
brca_metabric	MB-2977	-0.5529
brca_metabric	MB-2983	-0.4665
brca_metabric	MB-2984	-0.9579
brca_metabric	MB-2990	-0.5182
brca_metabric	MB-2993	1.2861
brca_metabric	MB-2994	1.0748
brca_metabric	MB-2996	-0.622
brca_metabric	MB-2999	1.0922
brca_metabric	MB-3001	0.1617
brca_metabric	MB-3002	-0.0764
brca_metabric	MB-3005	0.083
brca_metabric	MB-3006	2.2154
brca_metabric	MB-3007	0.4937
brca_metabric	MB-3008	0.5361
brca_metabric	MB-3013	0.7695
brca_metabric	MB-3014	0.418
brca_metabric	MB-3016	-0.2489
brca_metabric	MB-3021	0.3046
brca_metabric	MB-3025	2.8786
brca_metabric	MB-3026	0.0683
brca_metabric	MB-3028	-1.2024
brca_metabric	MB-3031	-0.5224
brca_metabric	MB-3032	0.1007
brca_metabric	MB-3033	0.1112
brca_metabric	MB-3035	-0.014
brca_metabric	MB-3037	0.2749
brca_metabric	MB-3046	2.2337
brca_metabric	MB-3049	1.5768
brca_metabric	MB-3050	-1.1286
brca_metabric	MB-3057	2.6234
brca_metabric	MB-3058	0.8205
brca_metabric	MB-3060	-1.2158
brca_metabric	MB-3062	2.6187
brca_metabric	MB-3063	1.4785
brca_metabric	MB-3064	-0.4986
brca_metabric	MB-3067	0.202
brca_metabric	MB-3079	-0.4999
brca_metabric	MB-3083	-1.2806
brca_metabric	MB-3085	-0.1861
brca_metabric	MB-3088	1.3438
brca_metabric	MB-3092	-1.3733
brca_metabric	MB-3102	-1.0086
brca_metabric	MB-3103	-0.5883
brca_metabric	MB-3104	1.247
brca_metabric	MB-3105	-1.5193
brca_metabric	MB-3110	0.2908
brca_metabric	MB-3121	-0.1078
brca_metabric	MB-3122	-1.0722
brca_metabric	MB-3123	1.7061
brca_metabric	MB-3153	2.2838
brca_metabric	MB-3165	2.5329
brca_metabric	MB-3167	1.1046
brca_metabric	MB-3171	-0.4246
brca_metabric	MB-3181	-0.6363
brca_metabric	MB-3211	-0.2216
brca_metabric	MB-3218	-0.459
brca_metabric	MB-3222	0.0493
brca_metabric	MB-3228	-0.0905
brca_metabric	MB-3235	0.9212
brca_metabric	MB-3252	0.9009
brca_metabric	MB-3253	-0.8585
brca_metabric	MB-3254	-0.1138
brca_metabric	MB-3266	-0.7806
brca_metabric	MB-3271	0.012
brca_metabric	MB-3272	-1.0269
brca_metabric	MB-3275	-0.8723
brca_metabric	MB-3277	1.5106
brca_metabric	MB-3292	0.2739
brca_metabric	MB-3295	-0.0248
brca_metabric	MB-3297	-1.0283
brca_metabric	MB-3298	0.5609
brca_metabric	MB-3300	2.0514
brca_metabric	MB-3301	0.2205
brca_metabric	MB-3303	-1.2401
brca_metabric	MB-3328	-0.1965
brca_metabric	MB-3329	-0.6464
brca_metabric	MB-3341	-1.3665
brca_metabric	MB-3344	-0.5144
brca_metabric	MB-3350	-0.6934
brca_metabric	MB-3351	-1.283
brca_metabric	MB-3355	0.3272
brca_metabric	MB-3357	1.1915
brca_metabric	MB-3360	0.4258
brca_metabric	MB-3361	-0.5125
brca_metabric	MB-3363	2.4059
brca_metabric	MB-3365	-0.7791
brca_metabric	MB-3367	0.8367
brca_metabric	MB-3371	-0.4985
brca_metabric	MB-3378	-0.3805
brca_metabric	MB-3379	-0.7423
brca_metabric	MB-3381	0.8471
brca_metabric	MB-3382	-0.9742
brca_metabric	MB-3383	0.456
brca_metabric	MB-3386	-1.2375
brca_metabric	MB-3388	-1.1746
brca_metabric	MB-3389	-1.0806
brca_metabric	MB-3395	1.1247
brca_metabric	MB-3396	1.4942
brca_metabric	MB-3402	-0.9796
brca_metabric	MB-3403	0.2224
brca_metabric	MB-3412	0.3852
brca_metabric	MB-3417	-0.3635
brca_metabric	MB-3429	0.1515
brca_metabric	MB-3430	-0.8085
brca_metabric	MB-3435	-1.072
brca_metabric	MB-3436	-1.402
brca_metabric	MB-3437	-1.2686
brca_metabric	MB-3439	0.4819
brca_metabric	MB-3450	-0.6991
brca_metabric	MB-3452	0.2976
brca_metabric	MB-3453	1.9927
brca_metabric	MB-3459	-0.3601
brca_metabric	MB-3462	-0.852
brca_metabric	MB-3466	1.5343
brca_metabric	MB-3467	1.6248
brca_metabric	MB-3470	-0.2151
brca_metabric	MB-3476	0.6152
brca_metabric	MB-3479	1.3708
brca_metabric	MB-3487	-0.9323
brca_metabric	MB-3488	0.3416
brca_metabric	MB-3490	-0.4778
brca_metabric	MB-3492	-0.112
brca_metabric	MB-3497	0.9141
brca_metabric	MB-3500	0.6956
brca_metabric	MB-3502	-0.5477
brca_metabric	MB-3506	-1.1049
brca_metabric	MB-3510	-0.8248
brca_metabric	MB-3525	-0.498
brca_metabric	MB-3526	0.6347
brca_metabric	MB-3528	-0.7114
brca_metabric	MB-3530	0.5271
brca_metabric	MB-3536	-0.1502
brca_metabric	MB-3545	0.2316
brca_metabric	MB-3548	-0.18
brca_metabric	MB-3556	-0.0677
brca_metabric	MB-3567	-1.9449
brca_metabric	MB-3576	-0.1777
brca_metabric	MB-3582	1.4212
brca_metabric	MB-3600	-0.2384
brca_metabric	MB-3606	2.089
brca_metabric	MB-3614	-0.7521
brca_metabric	MB-3702	1.2686
brca_metabric	MB-3706	-0.0373
brca_metabric	MB-3707	0.5436
brca_metabric	MB-3711	-0.6326
brca_metabric	MB-3748	-0.794
brca_metabric	MB-3752	-1.4466
