STUDY_ID	SAMPLE_ID	SGCG
brca_metabric	MB-0884	1.2389
brca_metabric	MB-0891	0.6364
brca_metabric	MB-0893	1.9569
brca_metabric	MB-0895	0.1168
brca_metabric	MB-0897	-0.359
brca_metabric	MB-0899	0.7875
brca_metabric	MB-0901	-0.4011
brca_metabric	MB-0904	-1.0574
brca_metabric	MB-0906	0.1708
brca_metabric	MB-2513	-0.7
brca_metabric	MB-2517	-0.1901
brca_metabric	MB-2536	0.191
brca_metabric	MB-2556	2.2774
brca_metabric	MB-2564	-0.9509
brca_metabric	MB-2610	-0.3034
brca_metabric	MB-2613	-0.417
brca_metabric	MB-2614	-0.1889
brca_metabric	MB-2616	-0.111
brca_metabric	MB-2617	0.2751
brca_metabric	MB-2618	-0.1718
brca_metabric	MB-2624	-0.2414
brca_metabric	MB-2626	0.1267
brca_metabric	MB-2629	-0.0804
brca_metabric	MB-2632	-0.3739
brca_metabric	MB-2634	0.078
brca_metabric	MB-2642	-0.8845
brca_metabric	MB-2643	0.1732
brca_metabric	MB-2645	-0.3394
brca_metabric	MB-2669	-0.1559
brca_metabric	MB-2686	-0.45
brca_metabric	MB-2705	-0.3192
brca_metabric	MB-2708	0.3738
brca_metabric	MB-2711	0.0013
brca_metabric	MB-2712	-0.1533
brca_metabric	MB-2718	-0.8862
brca_metabric	MB-2721	-0.0142
brca_metabric	MB-2724	-0.6007
brca_metabric	MB-2725	0.1479
brca_metabric	MB-2728	-0.7749
brca_metabric	MB-2730	-0.489
brca_metabric	MB-2735	-0.3797
brca_metabric	MB-2742	-0.854
brca_metabric	MB-2744	-0.0902
brca_metabric	MB-2745	-0.4701
brca_metabric	MB-2747	-0.2467
brca_metabric	MB-2749	0.2467
brca_metabric	MB-2750	0.9219
brca_metabric	MB-2752	-0.0254
brca_metabric	MB-2753	0.1639
brca_metabric	MB-2754	-0.2566
brca_metabric	MB-2758	-0.3176
brca_metabric	MB-2760	0.4469
brca_metabric	MB-2763	-0.3384
brca_metabric	MB-2764	-0.216
brca_metabric	MB-2765	-0.0635
brca_metabric	MB-2767	0.4083
brca_metabric	MB-2769	0.0887
brca_metabric	MB-2770	1.2871
brca_metabric	MB-2771	-0.2525
brca_metabric	MB-2772	-0.2585
brca_metabric	MB-2774	-0.1441
brca_metabric	MB-2778	-0.9875
brca_metabric	MB-2779	4.2421
brca_metabric	MB-2781	-0.3576
brca_metabric	MB-2786	-0.0465
brca_metabric	MB-2790	-0.1814
brca_metabric	MB-2791	0.5971
brca_metabric	MB-2792	3.1385
brca_metabric	MB-2793	-0.2805
brca_metabric	MB-2795	0.267
brca_metabric	MB-2796	0.7268
brca_metabric	MB-2797	-0.6229
brca_metabric	MB-2801	-1.1602
brca_metabric	MB-2803	4.7516
brca_metabric	MB-2814	-0.7693
brca_metabric	MB-2815	0.1062
brca_metabric	MB-2819	-0.4807
brca_metabric	MB-2820	0.6566
brca_metabric	MB-2821	0.4937
brca_metabric	MB-2823	-0.0516
brca_metabric	MB-2827	-0.6036
brca_metabric	MB-2833	-0.4599
brca_metabric	MB-2834	0.0399
brca_metabric	MB-2835	0.6699
brca_metabric	MB-2838	-0.2551
brca_metabric	MB-2840	-0.7197
brca_metabric	MB-2842	-0.6236
brca_metabric	MB-2843	0.7305
brca_metabric	MB-2844	-1.0221
brca_metabric	MB-2845	-0.3793
brca_metabric	MB-2846	-0.5397
brca_metabric	MB-2847	-0.4011
brca_metabric	MB-2848	-0.0757
brca_metabric	MB-2849	-0.464
brca_metabric	MB-2850	-0.0376
brca_metabric	MB-2851	-0.4388
brca_metabric	MB-2853	-0.2203
brca_metabric	MB-2854	-0.9412
brca_metabric	MB-2857	0.0023
brca_metabric	MB-2858	-0.3265
brca_metabric	MB-2863	1.7593
brca_metabric	MB-2867	0.1112
brca_metabric	MB-2895	-0.0288
brca_metabric	MB-2896	-0.2118
brca_metabric	MB-2900	0.0111
brca_metabric	MB-2901	-0.0275
brca_metabric	MB-2904	-0.0232
brca_metabric	MB-2912	-0.0582
brca_metabric	MB-2916	0.1727
brca_metabric	MB-2917	0.0194
brca_metabric	MB-2919	-0.6501
brca_metabric	MB-2922	0.405
brca_metabric	MB-2923	-0.2765
brca_metabric	MB-2927	-1.0161
brca_metabric	MB-2929	0.1052
brca_metabric	MB-2931	-0.3061
brca_metabric	MB-2932	-0.5696
brca_metabric	MB-2933	-0.301
brca_metabric	MB-2939	-0.3587
brca_metabric	MB-2944	-0.3136
brca_metabric	MB-2947	0.1911
brca_metabric	MB-2951	0.0507
brca_metabric	MB-2952	-0.6858
brca_metabric	MB-2953	-0.6588
brca_metabric	MB-2954	-0.7674
brca_metabric	MB-2957	-0.1448
brca_metabric	MB-2960	0.5945
brca_metabric	MB-2963	0.3018
brca_metabric	MB-2964	-0.0258
brca_metabric	MB-2966	-0.6376
brca_metabric	MB-2969	-0.9066
brca_metabric	MB-2970	-0.4259
brca_metabric	MB-2971	-0.1254
brca_metabric	MB-2977	0.2307
brca_metabric	MB-2983	-0.9907
brca_metabric	MB-2984	-0.3161
brca_metabric	MB-2990	-0.3199
brca_metabric	MB-2993	-0.0213
brca_metabric	MB-2994	0.5767
brca_metabric	MB-2996	0.0714
brca_metabric	MB-2999	0.2323
brca_metabric	MB-3001	0.4649
brca_metabric	MB-3002	-0.4304
brca_metabric	MB-3005	-0.1949
brca_metabric	MB-3006	-0.267
brca_metabric	MB-3007	0.1081
brca_metabric	MB-3008	-0.3676
brca_metabric	MB-3013	-0.0722
brca_metabric	MB-3014	-0.3287
brca_metabric	MB-3016	0.0722
brca_metabric	MB-3021	-0.6295
brca_metabric	MB-3025	-0.1308
brca_metabric	MB-3026	-0.4492
brca_metabric	MB-3028	-0.1546
brca_metabric	MB-3031	1.7958
brca_metabric	MB-3032	-0.1882
brca_metabric	MB-3033	1.0716
brca_metabric	MB-3035	-0.6895
brca_metabric	MB-3037	0.2301
brca_metabric	MB-3046	0.0954
brca_metabric	MB-3049	-0.1593
brca_metabric	MB-3050	-0.1852
brca_metabric	MB-3057	-0.5878
brca_metabric	MB-3058	-0.7357
brca_metabric	MB-3060	-0.0534
brca_metabric	MB-3062	0.4699
brca_metabric	MB-3063	-0.7883
brca_metabric	MB-3064	0.18
brca_metabric	MB-3067	-0.2605
brca_metabric	MB-3079	-0.8435
brca_metabric	MB-3083	0.0785
brca_metabric	MB-3085	1.5264
brca_metabric	MB-3088	-0.9795
brca_metabric	MB-3092	-0.3917
brca_metabric	MB-3102	-1.2033
brca_metabric	MB-3103	2.9329
brca_metabric	MB-3104	0.3346
brca_metabric	MB-3105	-0.0576
brca_metabric	MB-3110	0.6005
brca_metabric	MB-3121	0.4434
brca_metabric	MB-3122	-0.2007
brca_metabric	MB-3123	-0.0033
brca_metabric	MB-3153	-0.6381
brca_metabric	MB-3165	-0.5435
brca_metabric	MB-3167	0.6898
brca_metabric	MB-3171	-0.2617
brca_metabric	MB-3181	-0.562
brca_metabric	MB-3211	-0.4657
brca_metabric	MB-3218	-0.6505
brca_metabric	MB-3222	-0.0729
brca_metabric	MB-3228	-0.4572
brca_metabric	MB-3235	-0.1841
brca_metabric	MB-3252	0.2667
brca_metabric	MB-3253	-0.1387
brca_metabric	MB-3254	-0.6463
brca_metabric	MB-3266	-0.2892
brca_metabric	MB-3271	-0.5186
brca_metabric	MB-3272	-0.1921
brca_metabric	MB-3275	0.2103
brca_metabric	MB-3277	-0.3902
brca_metabric	MB-3292	-0.2692
brca_metabric	MB-3295	-0.091
brca_metabric	MB-3297	-0.4269
brca_metabric	MB-3298	0.2921
brca_metabric	MB-3300	-0.3719
brca_metabric	MB-3301	-0.6119
brca_metabric	MB-3303	-0.3367
brca_metabric	MB-3328	-0.5953
brca_metabric	MB-3329	-0.2059
brca_metabric	MB-3341	0.5764
brca_metabric	MB-3344	1.1025
brca_metabric	MB-3350	-0.0748
brca_metabric	MB-3351	0.1385
brca_metabric	MB-3355	0.3502
brca_metabric	MB-3357	0.3278
brca_metabric	MB-3360	-0.075
brca_metabric	MB-3361	-0.0218
brca_metabric	MB-3363	0.1542
brca_metabric	MB-3365	0.2577
brca_metabric	MB-3367	-0.638
brca_metabric	MB-3371	-0.0644
brca_metabric	MB-3378	0.3178
brca_metabric	MB-3379	-0.3362
brca_metabric	MB-3381	0.3246
brca_metabric	MB-3382	1.6894
brca_metabric	MB-3383	-0.4938
brca_metabric	MB-3386	4.3728
brca_metabric	MB-3388	-0.3394
brca_metabric	MB-3389	-0.0471
brca_metabric	MB-3395	-0.3867
brca_metabric	MB-3396	-0.0059
brca_metabric	MB-3402	-0.255
brca_metabric	MB-3403	0.9495
brca_metabric	MB-3412	0.7443
brca_metabric	MB-3417	-0.1525
brca_metabric	MB-3429	-1.3095
brca_metabric	MB-3430	0.7896
brca_metabric	MB-3435	-0.4677
brca_metabric	MB-3436	4.4965
brca_metabric	MB-3437	-0.4958
brca_metabric	MB-3439	-0.116
brca_metabric	MB-3450	0.0265
brca_metabric	MB-3452	-0.0895
brca_metabric	MB-3453	-0.1761
brca_metabric	MB-3459	-0.81
brca_metabric	MB-3462	-0.7242
brca_metabric	MB-3466	0.2588
brca_metabric	MB-3467	-0.5124
brca_metabric	MB-3470	0.3625
brca_metabric	MB-3476	-0.1665
brca_metabric	MB-3479	0.2054
brca_metabric	MB-3487	-0.5166
brca_metabric	MB-3488	-1.038
brca_metabric	MB-3490	0.109
brca_metabric	MB-3492	-0.3858
brca_metabric	MB-3497	0.1073
brca_metabric	MB-3500	-0.1457
brca_metabric	MB-3502	-0.1326
brca_metabric	MB-3506	0.1213
brca_metabric	MB-3510	-0.1893
brca_metabric	MB-3525	-0.465
brca_metabric	MB-3526	-0.2275
brca_metabric	MB-3528	1.7634
brca_metabric	MB-3530	-0.727
brca_metabric	MB-3536	-0.7988
brca_metabric	MB-3545	0.0148
brca_metabric	MB-3548	-0.5644
brca_metabric	MB-3556	-0.1136
brca_metabric	MB-3567	0.2694
brca_metabric	MB-3576	0.2239
brca_metabric	MB-3582	-0.7596
brca_metabric	MB-3600	0.108
brca_metabric	MB-3606	-0.0218
brca_metabric	MB-3614	-0.1299
brca_metabric	MB-3702	-0.1674
