STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-3105	0.8433
brca_metabric	MB-3110	-0.3973
brca_metabric	MB-3121	1.2556
brca_metabric	MB-3122	0.7957
brca_metabric	MB-3123	0.7409
brca_metabric	MB-3153	1.6362
brca_metabric	MB-3165	-0.0667
brca_metabric	MB-3167	-1.4762
brca_metabric	MB-3171	-0.6829
brca_metabric	MB-3181	-1.5299
brca_metabric	MB-3211	-0.0407
brca_metabric	MB-3218	2.7214
brca_metabric	MB-3222	0.7837
brca_metabric	MB-3228	-0.799
brca_metabric	MB-3235	0.0337
brca_metabric	MB-3252	-0.5488
brca_metabric	MB-3253	-0.5857
brca_metabric	MB-3254	-0.5998
brca_metabric	MB-3266	0.7689
brca_metabric	MB-3271	0.3388
brca_metabric	MB-3272	-0.996
brca_metabric	MB-3275	-1.1097
brca_metabric	MB-3277	-0.2725
brca_metabric	MB-3292	-0.2793
brca_metabric	MB-3295	0.074
brca_metabric	MB-3297	-0.488
brca_metabric	MB-3298	0.186
brca_metabric	MB-3300	-0.7029
brca_metabric	MB-3301	-0.2726
brca_metabric	MB-3303	-0.7054
brca_metabric	MB-3328	-0.2574
brca_metabric	MB-3329	-1.4316
brca_metabric	MB-3341	-1.5657
brca_metabric	MB-3344	-1.0205
brca_metabric	MB-3350	0.549
brca_metabric	MB-3351	0.2624
brca_metabric	MB-3355	1.0191
brca_metabric	MB-3357	1.1083
brca_metabric	MB-3360	0.858
brca_metabric	MB-3361	-1.4687
brca_metabric	MB-3363	-0.8501
brca_metabric	MB-3365	-0.2278
brca_metabric	MB-3367	1.1354
brca_metabric	MB-3371	-0.0773
brca_metabric	MB-3378	-0.3565
brca_metabric	MB-3379	-1.9724
brca_metabric	MB-3381	0.0025
brca_metabric	MB-3382	-0.5122
brca_metabric	MB-3383	-0.9136
brca_metabric	MB-3386	-1.2806
brca_metabric	MB-3388	0.3534
brca_metabric	MB-3389	0.3607
brca_metabric	MB-3395	-0.4069
brca_metabric	MB-3396	-0.1908
brca_metabric	MB-3402	-0.5255
brca_metabric	MB-3403	0.0236
brca_metabric	MB-3412	0.1375
brca_metabric	MB-3417	-0.9166
brca_metabric	MB-3429	0.7969
brca_metabric	MB-3430	-0.278
brca_metabric	MB-3435	-1.2729
brca_metabric	MB-3436	1.7458
brca_metabric	MB-3437	0.2293
brca_metabric	MB-3439	-0.7565
brca_metabric	MB-3450	-0.0871
brca_metabric	MB-3452	0.6175
brca_metabric	MB-3453	-0.695
brca_metabric	MB-3459	0.7057
brca_metabric	MB-3462	-0.589
brca_metabric	MB-3466	0.5566
brca_metabric	MB-3467	-0.1163
brca_metabric	MB-3470	0.8699
brca_metabric	MB-3476	0.1428
brca_metabric	MB-3479	0.3256
brca_metabric	MB-3487	0.7462
brca_metabric	MB-3488	1.3753
brca_metabric	MB-3490	-0.5737
brca_metabric	MB-3492	0.5559
brca_metabric	MB-3497	-0.9295
brca_metabric	MB-3500	0.1099
brca_metabric	MB-3502	-0.1448
brca_metabric	MB-3506	-1.1775
brca_metabric	MB-3510	-0.95
brca_metabric	MB-3525	0.6765
brca_metabric	MB-3526	0.4616
brca_metabric	MB-3528	-0.3888
brca_metabric	MB-3530	-1.4704
brca_metabric	MB-3536	1.1492
brca_metabric	MB-3545	0.2049
brca_metabric	MB-3548	-0.9739
brca_metabric	MB-3556	-2.4874
brca_metabric	MB-3567	1.6105
brca_metabric	MB-3576	-0.3479
